Station,latitude,longitude,observations,persistence,mean_bod,mean_fc,anomaly_rate,hotspot_score_baseline
GANGA AT ALLAHABAD (RASOOLABAD) U.P.,25.502474,81.855439,23,1.0,2.734782608695652,1003.9130434782608,0.0434782608695652,0.7412791055619175
GANGA AT ALLAHABAD D/S (SANGAM) U.P.,25.419206,81.900522,23,1.0,2.665217391304348,1011.7391304347826,0.0434782608695652,0.746376811594203
GANGA AT KADAGHAT ALLAHABAD,25.443124,81.887148,22,1.0,2.659090909090909,960.9090909090908,0.0909090909090909,0.8002239901135398
RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,25.259363,82.096478,23,1.0,2.621739130434783,792.1739130434783,0.0434782608695652,0.6033578367995271
TONS AT CHAKGHAT M.P.,25.043083,81.721004,5,0.0,1.7399999999999998,2.0,0.0,0.0
YAMUNA AT ALLAHABAD D/S (BALUA GHAT) U.P,25.422471,81.838806,11,0.8181818181818182,2.5454545454545454,654.5454545454545,0.1818181818181818,0.7102803738317758
