Station,observations,mean_bod,max_bod,mean_fc,max_fc,bod_exceedances,fc_desirable_exceedances,fc_max_exceedances,mean_bod_exceedance,mean_fc_exceedance,latitude,longitude,polluted_observations,persistence,mean_bod_ratio,max_bod_ratio,mean_fc_ratio,max_fc_ratio,bod_trend,fc_trend,anomalous_observations,anomaly_rate,persistence_score,severity_raw,severity_score,anomaly_score,hotspot_score_baseline
GANGA AT ALLAHABAD (RASOOLABAD) U.P.,23,2.734782608695652,2.9,1003.9130434782609,1400.0,0,23,0,0.0,1.0078260869565216,25.502474,81.855439,23,1.0,0.9115942028985506,0.9666666666666667,2.0078260869565216,2.8,0.08999999999999946,-28.00000000000007,1,0.043478260869565216,1.0,1.0078260869565216,0.9847068819031436,0.23913043478260868,0.7412791055619175
GANGA AT ALLAHABAD D/S (SANGAM) U.P.,23,2.6652173913043478,2.9,1011.7391304347826,1400.0,0,23,0,0.0,1.0234782608695652,25.419206,81.900522,23,1.0,0.8884057971014493,0.9666666666666667,2.0234782608695654,2.8,0.07428571428571411,-29.714285714285708,1,0.043478260869565216,1.0,1.0234782608695652,1.0,0.23913043478260868,0.746376811594203
GANGA AT KADAGHAT ALLAHABAD,22,2.659090909090909,2.9,960.9090909090909,1400.0,0,22,0,0.0,0.9218181818181819,25.443124,81.887148,22,1.0,0.8863636363636364,0.9666666666666667,1.9218181818181819,2.8,0.1499999999999997,-147.00000000000023,2,0.09090909090909091,1.0,0.9218181818181819,0.9006719703406195,0.5,0.8002239901135398
RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,23,2.621739130434783,2.8,792.1739130434783,1100.0,0,23,0,0.0,0.5843478260869566,25.259363,82.096478,23,1.0,0.8739130434782609,0.9333333333333332,1.5843478260869563,2.2,0.10999999999999978,-86.00000000000009,1,0.043478260869565216,1.0,0.5843478260869566,0.5709430756159729,0.23913043478260868,0.6033578367995271
TONS AT CHAKGHAT M.P.,5,1.7399999999999998,2.0,2.0,2.0,0,0,0,0.0,0.0,25.043083,81.721004,0,0.0,0.58,0.6666666666666666,0.004,0.004,-0.04000000000000024,-3.1498519617614156e-16,0,0.0,0.0,0.0,0.0,0.0,0.0
YAMUNA AT ALLAHABAD D/S (BALUA GHAT) U.P,11,2.5454545454545454,2.7,654.5454545454545,930.0,0,9,0,0.0,0.32000000000000006,25.422471,81.838806,9,0.8181818181818182,0.8484848484848485,0.9,1.309090909090909,1.86,,,2,0.18181818181818182,0.8181818181818182,0.32000000000000006,0.312659303313509,1.0,0.7102803738317758
