SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
368,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-02-2021 08:30,3.5,"",11000,""
369,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-03-2021 08:30,4,"",13000,""
370,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-03-2021 08:30,3.6,"",8000,""
371,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-04-2021 08:30,4,"",11000,""
372,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,19-04-2021 08:30,3.8,"",8000,""
373,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-05-2021 08:30,3.8,"",11000,""
374,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-05-2021 08:30,4,"",13000,""
375,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-06-2021 08:30,3.7,"",11000,""
376,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-06-2021 08:30,4,"",13000,""
377,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-07-2021 08:30,4,"",13000,""
378,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,15-07-2021 08:30,3.7,"",13000,""
379,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-08-2021 08:30,4.1,"",13000,""
380,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-08-2021 08:30,3.5,"",11000,""
381,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-09-2021 08:30,3.5,"",11000,""
382,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,15-09-2021 08:30,3.7,"",9200,""
383,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,04-10-2021 08:30,3.5,"",9000,""
384,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-10-2021 08:30,3.4,"",11000,""
385,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-11-2021 08:30,3.4,"",8000,""
386,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,15-11-2021 08:30,3.5,"",7000,""
387,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-12-2021 08:30,3.4,"",8000,""
388,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,17-12-2021 08:30,3.5,"",9000,""
389,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-01-2021 08:30,2.2,"",800,""
390,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-02-2021 08:30,1.9,"",700,""
391,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-02-2021 08:30,2.5,"",800,""
392,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-03-2021 08:30,2.4,"",700,""
393,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-03-2021 08:30,1.9,"",500,""
394,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-04-2021 08:30,2.3,"",800,""
395,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,19-04-2021 08:30,2.2,"",500,""
396,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-05-2021 08:30,2.2,"",800,""
397,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-05-2021 08:30,2.4,"",1100,""
398,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-06-2021 08:30,2.3,"",900,""
399,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-06-2021 08:30,2.6,"",1100,""
400,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-07-2021 08:30,2.6,"",1100,""
401,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,15-07-2021 08:30,2.3,"",1300,""
402,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-08-2021 08:30,2.8,"",1100,""
403,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-08-2021 08:30,2.5,"",800,""
404,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-09-2021 08:30,2.3,"",800,""
405,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,15-09-2021 08:30,2.5,"",900,""
406,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,04-10-2021 08:30,2.1,"",800,""
407,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-10-2021 08:30,2,"",700,""
408,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-11-2021 08:30,2.2,"",800,""
409,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,15-11-2021 08:30,2,"",800,""
410,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-12-2021 08:30,1.7,"",1100,""
411,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,17-12-2021 08:30,1.8,"",500,""
412,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,07-01-2021 08:30,1.4,"",1100,""
413,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,21-01-2021 08:30,1.2,"",1200,""
414,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,08-02-2021 08:30,1.4,"",930,""
415,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,22-02-2021 08:30,1.4,"",920,""
416,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,08-03-2021 08:30,1.2,"",850,""
417,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,22-03-2021 08:30,1.7,"",920,""
418,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,12-04-2021 08:30,1.3,"",1200,""
419,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,26-04-2021 08:30,2.1,"",1300,""
420,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,10-05-2021 08:30,2,"",950,""
421,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,27-05-2021 08:30,1.9,"",950,""
422,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,07-06-2021 08:30,2.2,"",400,""
423,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,05-07-2021 08:30,3,"",140,""
424,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,26-07-2021 08:30,1.8,"",170,""
425,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,09-08-2021 08:30,2.4,"",140,""
426,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,23-08-2021 08:30,1.9,"",280,""
427,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,13-09-2021 08:30,1.8,"",920,""
428,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,20-09-2021 08:30,2.2,"",540,""
429,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,11-10-2021 08:30,8,"",220,""
430,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,25-10-2021 08:30,1.2,"",130,""
431,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,15-11-2021 08:30,1.9,"",540,""
432,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,23-11-2021 08:30,1.1,"",220,""
433,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,07-12-2021 08:30,1.5,"",280,""
434,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,21-12-2021 08:30,1.3,"",220,""
435,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,04-01-2021 08:30,3.7,"",13000,""
436,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,01-02-2021 08:30,3.5,"",11000,""
437,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,15-02-2021 08:30,3.1,"",8000,""
438,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,01-03-2021 08:30,3.5,"",8000,""
439,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,03-04-2021 08:30,4,"",11000,""
440,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,17-04-2021 08:30,3.8,"",8000,""
441,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,18-05-2021 08:30,4,"",13000,""
442,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,25-05-2021 08:30,4.2,"",11000,""
443,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,02-06-2021 08:30,3.8,"",14000,""
444,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,18-06-2021 08:30,3.7,"",11000,""
445,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,12-07-2021 08:30,3.5,"",13000,""
446,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,26-07-2021 08:30,3.3,"",11000,""
447,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,02-08-2021 08:30,14.4,"",13000,""
448,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,17-08-2021 08:30,3.8,"",11000,""
449,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,06-09-2021 08:30,3.5,"",13000,""
450,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,28-09-2021 08:30,3.4,"",13000,""
451,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,04-10-2021 08:30,3.7,"",11000,""
452,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,18-10-2021 08:30,3.5,"",13000,""
453,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,08-11-2021 08:30,3.5,"",7000,""
454,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,29-11-2021 08:30,3.8,"",13000,""
455,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,06-12-2021 08:30,3.6,"",14000,""
456,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,20-12-2021 08:30,1.7,"",800,""
457,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,07-01-2021 08:30,1.6,"",680,""
458,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,21-01-2021 08:30,1.3,"",920,""
459,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,08-02-2021 08:30,1.1,"",780,""
460,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,22-02-2021 08:30,1.5,"",680,""
461,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,08-03-2021 08:30,1.3,"",720,""
462,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,22-03-2021 08:30,1.6,"",780,""
463,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,12-04-2021 08:30,1.5,"",1100,""
464,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,26-04-2021 08:30,2.2,"",1200,""
465,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,10-05-2021 08:30,2.2,"",920,""
466,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,27-05-2021 08:30,1.7,"",970,""
467,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,07-06-2021 08:30,2.1,"",480,""
468,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,21-06-2021 08:30,2.5,"",430,""
469,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,05-07-2021 08:30,2.8,"",140,""
470,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,26-07-2021 08:30,2.2,"",130,""
471,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,09-08-2021 08:30,2.2,"",110,""
472,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,23-08-2021 08:30,2.1,"",140,""
473,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,13-09-2021 08:30,2.2,"",430,""
474,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,20-09-2021 08:30,2.1,"",350,""
475,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,11-10-2021 08:30,1.4,"",170,""
476,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,25-10-2021 08:30,1.6,"",110,""
477,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,15-11-2021 08:30,2.3,"",140,""
478,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,23-11-2021 08:30,1.4,"",130,""
479,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,07-12-2021 08:30,1.3,"",220,""
480,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,21-12-2021 08:30,1.6,"",210,""
481,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,04-01-2021 08:30,2.3,"",800,""
482,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,19-01-2021 08:30,2.3,"",500,""
483,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,01-02-2021 08:30,2.1,"",800,""
484,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,15-02-2021 08:30,1.8,"",500,""
485,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,01-03-2021 08:30,2,"",1100,""
486,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,03-04-2021 08:30,2.4,"",800,""
487,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,17-04-2021 08:30,2.2,"",700,""
488,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,18-05-2021 08:30,2.4,"",1100,""
489,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,25-05-2021 08:30,2.5,"",800,""
490,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,02-06-2021 08:30,2.6,"",1300,""
491,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,18-06-2021 08:30,2.4,"",1100,""
492,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,12-07-2021 08:30,2.6,"",1100,""
493,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,26-07-2021 08:30,2.4,"",1300,""
494,GANGA U/S VINDHYACHAL MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.24403100,82.41827200,02-08-2021 08:30,3,"",1300,""
